"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016064","immunoglobulin mediated immune response","29/634","209/18986",0.138755980861244,4.15523825336211,8.52511856777343,8.19922872633639e-11,2.22279543130179e-07,2.08212069807087e-07,"2215/3500/3501/28468/28464/28461/28458/102723169/28455/102723168/28450/28449/28448/28445/28442/28439/28426/28424/28423/28414/28452/28409/28391/28386/28388/28385/57289/3514/374383",29
"GO:0019724","B cell mediated immunity","29/634","212/18986",0.136792452830189,4.09643771204095,8.42674983605631,1.16285400538937e-10,2.22279543130179e-07,2.08212069807087e-07,"2215/3500/3501/28468/28464/28461/28458/102723169/28455/102723168/28450/28449/28448/28445/28442/28439/28426/28424/28423/28414/28452/28409/28391/28386/28388/28385/57289/3514/374383",29
"GO:0019730","antimicrobial humoral response","24/634","185/18986",0.12972972972973,3.88493477704834,7.32891387091644,1.35773208092482e-08,1.73020324845853e-05,1.62070334712499e-05,"51297/6362/6364/128822/6374/117159/1755/2243/2244/3500/3501/354/25818/3853/3960/374383/4922/8993/57115/5266/5443/6278/6280/7018",24
"GO:0034308","primary alcohol metabolic process","16/634","103/18986",0.155339805825243,4.65186364889284,6.90726151232988,2.99730118141231e-07,0.000286467060413482,0.000268337332083281,"124/125/126/127/131/441282/1645/650/653/10170/54363/3991/5950/8608/5959/6799",16
"GO:0120254","olefinic compound metabolic process","20/634","163/18986",0.122699386503067,3.67440150180953,6.37359139690735,5.43975079118752e-07,0.000415923345494198,0.000389600677718315,"124/125/126/127/131/441282/1645/247/59344/650/653/1553/1548/1549/1555/10170/3991/5950/8608/5959",20
"GO:0042572","retinol metabolic process","11/634","52/18986",0.211538461538462,6.33480951225431,7.15991112821566,9.17317268032252e-07,0.000584483985947883,0.000547493569446618,"124/125/126/127/131/441282/10170/3991/5950/8608/5959",11
"GO:0007218","neuropeptide signaling pathway","15/634","113/18986",0.132743362831858,3.97518215571871,5.89577012034509,5.32148366334566e-06,0.00250631864368351,0.00234770049033173,"9427/124274/10888/2847/10316/283869/4888/4922/4986/5179/5443/128674/22986/6753/6866",15
"GO:0015850","organic hydroxy compound transport","26/634","292/18986",0.089041095890411,2.66645780216931,5.33387528498813,5.90923222364128e-06,0.00250631864368351,0.00234770049033173,"1244/32/9370/183/185/1645/336/338/364/100509620/948/1113/2668/4129/4986/5020/5443/5468/5950/6570/80704/159963/160728/6530/6860/374887",26
"GO:0042445","hormone metabolic process","23/634","241/18986",0.0954356846473029,2.8579525374033,5.39521360517118,6.51222483674824e-06,0.00250631864368351,0.00234770049033173,"124/125/126/127/131/441282/1645/6718/590/650/653/51200/10170/2690/3952/3991/5122/5950/8608/5959/7365/10720/54490",23
"GO:0002449","lymphocyte mediated immunity","31/634","386/18986",0.0803108808290155,2.40501953220771,5.18355572076817,6.5558949612438e-06,0.00250631864368351,0.00234770049033173,"909/2215/3500/3501/28468/28464/28461/28458/102723169/28455/102723168/28450/28449/28448/28445/28442/28439/28426/28424/28423/28414/28452/28409/28391/28386/28388/28385/57289/3514/3952/374383",31
"GO:0010743","regulation of macrophage derived foam cell differentiation","8/634","33/18986",0.242424242424242,7.25972660357518,6.68931401852116,9.80404971391953e-06,0.0034073529142104,0.00319171072983294,"9370/183/185/247/338/948/4023/5468",8
"GO:0019731","antibacterial humoral response","12/634","79/18986",0.151898734177215,4.54881603641736,5.87481168364244,1.14757854466855e-05,0.00365599398022322,0.00342461597277404,"51297/1755/2243/2244/3500/3501/354/25818/3960/374383/5266/7018",12
"GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide","16/634","136/18986",0.117647058823529,3.5231026164409,5.48854109460545,1.25978553688717e-05,0.00370473854424589,0.00347027562468839,"51297/6362/6364/6374/117159/1755/354/25818/3853/3960/4922/8993/57115/5443/6278/6280",16
"GO:0006959","humoral immune response","26/634","310/18986",0.0838709677419355,2.51163122010787,4.9876158525343,1.70753097548333e-05,0.00466277922805198,0.00436768449518368,"51297/6362/6364/1675/128822/6374/117159/1755/2243/2244/3500/3501/354/25818/3848/3853/3960/374383/4922/8993/57115/5266/5443/6278/6280/7018",26
"GO:0001523","retinoid metabolic process","12/634","84/18986",0.142857142857143,4.2780531771068,5.59641597353905,2.17536724320281e-05,0.00530455667458029,0.00496884557647539,"124/125/126/127/131/441282/1645/10170/3991/5950/8608/5959",12
"GO:0019755","one-carbon compound transport","7/634","27/18986",0.259259259259259,7.76387428437901,6.5369915752076,2.22006033987142e-05,0.00530455667458029,0.00496884557647539,"362/364/100509620/3040/3043/3045/8170",7
"GO:0046883","regulation of hormone secretion","23/634","261/18986",0.0881226053639847,2.63895234296627,4.95545909208633,2.37941542890276e-05,0.00535088540276191,0.00501224228428928,"130399/111/9370/183/185/1113/1131/1393/2243/2244/2266/2852/3623/3952/4826/4986/5443/5468/5950/56729/6616/7200/100507043",23
"GO:0010744","positive regulation of macrophage derived foam cell differentiation","6/634","19/18986",0.315789473684211,9.45674912834136,6.85471109131129,2.53273149537024e-05,0.00537924028155579,0.00503880265921026,"183/185/247/338/948/4023",6
"GO:0010742","macrophage derived foam cell differentiation","8/634","38/18986",0.210526315789474,6.30449941889424,6.08362934163787,2.98013593802305e-05,0.00599634720582216,0.00561685454911601,"9370/183/185/247/338/948/4023/5468",8
"GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","30/634","400/18986",0.075,2.24597791798107,4.68118283840349,3.39953000810032e-05,0.00649820161048377,0.00608694794081964,"909/2215/3500/3501/28468/28464/28461/28458/102723169/28455/102723168/28450/28449/28448/28445/28442/28439/28426/28424/28423/28414/28452/28409/28391/28386/28388/28385/57289/3514/374383",30
"GO:0090077","foam cell differentiation","8/634","39/18986",0.205128205128205,6.14284558764054,5.97549366502583,3.64045987441915e-05,0.00662737052376401,0.00620794210164108,"9370/183/185/247/338/948/4023/5468",8
"GO:0016101","diterpenoid metabolic process","12/634","89/18986",0.134831460674157,4.03771311097721,5.33892176429838,3.92681631712024e-05,0.0068237358092503,0.00639187995734117,"124/125/126/127/131/441282/1645/10170/3991/5950/8608/5959",12
"GO:0044060","regulation of endocrine process","8/634","41/18986",0.195121951219512,5.84319458336539,5.77011901242532,5.33072348749076e-05,0.00886058951855529,0.00829982668395587,"183/185/1393/3623/3952/4986/5443/56729",8
"GO:0008217","regulation of blood pressure","18/634","190/18986",0.0947368421052632,2.83702473850241,4.73006726235224,7.09488323952657e-05,0.0113015577602959,0.0105863126231883,"9370/153/183/185/40/477/1113/2740/3043/3952/4624/83988/4881/5020/22953/5443/5468/6866",18
